Diseases,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5
Influenza,Fever, Body aches,Cough,Sore throat,
Diabetes Mellitus,Increased thirst,Frequent urination,Fatigue,,
Hypertension,Headaches,Shortness of breath,Nosebleeds,,
Asthma,Wheezing,Coughing,Chest tightness,Shortness of breath,
Chickenpox,Itchy rash,Fever,Fatigue,Loss of appetite,
Tuberculosis,Coughing,Weight loss,Night sweats,Fever,
Hepatitis,Fatigue,Jaundice,Abdominal pain,Dark urine,
Heart Disease,Chest pain,Shortness of breath,Fatigue,Palpitations,
Arthritis,Joint pain,Stiffness,Swelling,Reduced range of motion,
Allergies,Sneezing,Itching,Runny nose,Hives,
Depression,Persistent sadness,Fatigue,Loss of interest,,
Anxiety Disorders,Excessive worry,Restlessness,Difficulty concentrating,,
Gastroesophageal Reflux Disease (GERD),Heartburn,Regurgitation,Difficulty swallowing,,
Stroke,Sudden numbness,Confusion,Trouble speaking,Severe headache,
Pneumonia,Cough,Fever,Difficulty breathing,,
Celiac Disease,Diarrhea,Bloating,Weight loss,Fatigue,
Fibromyalgia,Widespread pain,Fatigue,Sleep disturbances,,
Multiple Sclerosis,Numbness,Vision problems,Fatigue,Coordination issues,
Kidney Disease,Swelling,Fatigue,Changes in urine output,,
Skin Cancer,New or changing moles,Itching,Bleeding,Sores,
Lyme Disease,Fever,Headache,Fatigue,Characteristic rash,
Sickle Cell Anemia,Pain episodes,Fatigue,Swelling,Frequent infections,
Parkinson’s Disease,Tremors,Stiffness,Slow movement,Balance issues,
HIV/AIDS,Flu-like symptoms,Weight loss,Night sweats,,
Zika Virus,Fever,Rash,Joint pain,Conjunctivitis,
Alzheimers Disease,Memory loss,Confusion,Difficulty in problem-solving,Personality changes,
Chronic Fatigue Syndrome,Extreme fatigue,Sore throat,Headaches,Unrefreshing sleep,
Psoriasis,Red patches,Dry skin,Itching,Burning sensation,
Irritable Bowel Syndrome,Abdominal pain,Bloating,Diarrhea,Constipation,
Migraine,Severe headache,Nausea,Sensitivity to light,Dizziness,
Anemia,Fatigue,Weakness,Pale skin,Shortness of breath,
Gout,Joint pain,Redness,Swelling,Stiffness,
Bronchitis,Persistent cough,Mucus production,Fatigue,Chest discomfort,
Sinusitis,Nasal congestion,Facial pain,Headache,Fever,
Hyperthyroidism,Weight loss,Rapid heartbeat,Sweating,Irritability,
Hypothyroidism,Fatigue,Weight gain,Cold intolerance,Dry skin,
Gallbladder Disease,Abdominal pain,Nausea,Vomiting,Indigestion,
Pancreatitis,Abdominal pain,Nausea,Vomiting,Fever,
Meningitis,Severe headache,Stiff neck,Sensitivity to light,Nausea,
Ulcerative Colitis,Abdominal pain,Diarrhea,Blood in stool,Fatigue,
Crohn’s Disease,Abdominal pain,Diarrhea,Weight loss,Fatigue,
Lupus,Fatigue,Joint pain,Skin rash,Fever,
Eczema,Itchy skin,Dry skin,Red patches,Swelling,
Diverticulitis,Abdominal pain,Nausea,Vomiting,Fever,
Deep Vein Thrombosis (DVT),Leg pain,Swelling,Redness,Warmth in affected area,
Glaucoma,Eye pain,Blurred vision,Halos around lights,Nausea,
Cataracts,Clouded vision,Sensitivity to light,Difficulty seeing at night,Fading colors,
Retinitis Pigmentosa,Vision loss,Night blindness,Tunnel vision,Sensitivity to bright lights,
Macular Degeneration,Blurred vision,Difficulty reading,Distorted vision,Dark spots in vision,
Tetanus,Muscle stiffness,Jaw cramping,Difficulty swallowing,Muscle spasms,
Whooping Cough,Severe cough,Vomiting after coughing,Fatigue,Difficulty breathing,
Leprosy,Skin lesions,Numbness in limbs,Weakness,Eye problems,
Ebola Virus Disease,Fever,Severe headache,Muscle pain,Unexplained bleeding,
